action_name,class,method,result_name,result_type,result_value,resolved_jsp
"addDepartment","admin","addDepartment","success","tiles","department","/HMS Android/Department.jsp?main=1&amp;sub=1"
"addDepartment","admin","addDepartment","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"deptEdit","admin","deptEditDetails","success","tiles","department","/HMS Android/Department.jsp?main=1&amp;sub=1"
"updateDept","admin","deptUpdateDetails","success","tiles","department","/HMS Android/Department.jsp?main=1&amp;sub=1"
"deptDeactivate","admin","deptDeactivateDetails","success","tiles","department","/HMS Android/Department.jsp?main=1&amp;sub=1"
"deptDeactivate","admin","deptDeactivateDetails","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"deptDeactivate","admin","deptDeactivateDetails","success","tiles","deactivateSuc","/HMS Android/Successok.jsp?main=1&amp;sub=1"
"deptDeactivate","admin","deptDeactivateDetails","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"getCommonMaster","admin","commonDetails","success","tiles","common","/HMS Android/CommonMaster.jsp?main=1&amp;sub=4"
"getConsultants1","admin","consultantDetails","success","tiles","consultant1","/HMS Android/ConsultantMaster1.jsp?main=1&amp;sub=2"
"getConsultants","admin","consultantDetails","success","tiles","consultant","/HMS Android/ConsultantMaster.jsp?main=1&amp;sub=2"
"showElapsedApp","user","showElapsedApp","success","dispatcher","/HMS Android/ShowSlotsApp3.jsp","/HMS Android/ShowSlotsApp3.jsp"
"sessiontiming","admin","sessiontiming","","","",""
"showElapsedApp1","user","showElapsedApp","success","dispatcher","/HMS Android/ShowSlotsAppnew.jsp","/HMS Android/ShowSlotsAppnew.jsp"
"showElapsedApp2","user","showElapsedApp2","success","dispatcher","/HMS Android/ShowSlotsApp3.jsp","/HMS Android/ShowSlotsApp3.jsp"
"addconsultNames","admin","addConsultants","success","tiles","consultants","/HMS Android/ConsultantAdd.jsp?main=1&amp;sub=2"
"addconsultNames","admin","addConsultants","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"updateconsultNames","admin","updateconsultNames","success","tiles","addSucc","/HMS Android/Success.jsp"
"updateconsultNames","admin","updateconsultNames","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"updateconsultNames","admin","updateconsultNames","success1","tiles","slotTimemaster1","/HMS Android/TimingSlotsMasterNew.jsp?main=1&amp;sub=2"
"updateconsultTimingCW","admin","updateconsultTimingCW","success","tiles","addSucc","/HMS Android/Success.jsp"
"updateconsultTimingCW","admin","updateconsultTimingCW","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"updateconsultTimingCWConfirm","admin","updateconsultTimingCWConfirm","success","tiles","showslotsAppnew",""
"updateconsultTimingCWConfirm","admin","updateconsultTimingCWConfirm","error","tiles","common-error","/HMS Android/Failure.jsp?main=1&amp;sub=1"
"addupdateconsultNames","admin","addupdateconsultNames","success1","tiles","slotTime","/HMS Android/TimingSlots_old.jsp?main=1&amp;sub=2"
"addupdateconsultNames","admin","addupdateconsultNames","error","tiles","addSucc","/HMS Android/Success.jsp"
"consultantEdit","admin","editConsultant","success","tiles","consultant","/HMS Android/ConsultantMaster.jsp?main=1&amp;sub=2"
"updateAction","admin","updateConsultant","success","tiles","consultant","/HMS Android/ConsultantMaster.jsp?main=1&amp;sub=2"
"consultantDeactivate","admin","consltDeactivate","success","tiles","consultant","/HMS Android/ConsultantMaster.jsp?main=1&amp;sub=2"
"consultantDeactivate","admin","consltDeactivate","error","tiles","common-error2","/HMS Android/Failure2.jsp?main=1&amp;sub=1"
"consultantDeactivate","admin","consltDeactivate","success","tiles","Succonsu","/HMS Android/SuccessCons.jsp?main=1&amp;sub=1"
"consultantDeactivate","admin","consltDeactivate","error","tiles","common-error2","/HMS Android/Failure2.jsp?main=1&amp;sub=1"
"activateConsultant","admin","consltActivate","success","tiles","Succonsu","/HMS Android/SuccessCons.jsp?main=1&amp;sub=1"
"activateConsultant","admin","consltActivate","error","tiles","cons-error","/HMS Android/FailureCons.jsp?main=1&amp;sub=1"
"activateDepartment","admin","deptActivate","success","tiles","deactivateSuc","/HMS Android/Successok.jsp?main=1&amp;sub=1"
"Newsevents","admin","getNewsevents","success","tiles","newsevents","/HMS Android/NewsEvents.jsp?main=3&amp;sub=1"
"Newseventsmultiple","admin","getNewseventsmultiple","success","tiles","newseventsmultiple","/HMS Android/NewsEventsMultiple.jsp?main=3&amp;sub=1"
"imgupload","admin","uploadImages","success","tiles","newsevents","/HMS Android/NewsEvents.jsp?main=3&amp;sub=1"
"commonData","admin","commonMaster","success","tiles","commonmasters","/HMS Android/CommonMaster.jsp?main=1&amp;sub3"
"appointmentRequest","admin","appointmentReqt","success","tiles","apntreq","/HMS Android/AppointmentRequest.jsp?main=2&amp;sub=2"
"attendencelist","admin","attendencelist","success","tiles","attendencelist","/HMS Android/Attendencelist.jsp?main=2&amp;sub=5"
"patientRecords","admin","patientRecords","success","tiles","patdetails","/HMS Android/PatientRecords.jsp?main=5&amp;sub=2"
"patientRecordsDeactivate","admin","patientRecordsDeactivate","success","tiles","patdetailsDeactivate","/HMS Android/PatientRecordsDeactivate.jsp?main=5&amp;sub=4"
"cancelRequests","admin","cancelRequests","success","tiles","cancelreq","/HMS Android/CanceledRequests.jsp?main=2&amp;sub=3"
"confirmRequests","admin","confirmRequests","success","tiles","confirmreq","/HMS Android/ConfirmedRequests.jsp?main=2&amp;sub=4"
"cancelappnts","admin","cancelappnts","success","tiles","cancelapnt","/HMS Android/CanceledAppointments.jsp?main=2&amp;sub=5"
"reqCancel","admin","cancelAppnt","success","tiles","apntreq","/HMS Android/AppointmentRequest.jsp?main=2&amp;sub=2"
"getmasterAudit","admin","masterAudit","success","tiles","masterAudit","/HMS Android/MasterAudit.jsp?main=1&amp;sub=5"
"getconsultantAudit","admin","consultantAudit","success","tiles","masterAudit1","/HMS Android/MasterAudit1.jsp?main=1&amp;sub=5"
"getappntAudit","admin","appntAudit","success","tiles","appntAudit","/HMS Android/AppointAudit.jsp?main=2&amp;sub=6"
"getpatientAudit","admin","patientAudit","success","tiles","patAudit","/HMS Android/PatientAudit.jsp?main=4&amp;sub=3"
"getnewsAudit","admin","newsAudit","success","tiles","newsAudit","/HMS Android/NewsAudit.jsp?main=3&amp;sub=3"
"getemergencyAudit","admin","emergencyAudit","success","tiles","emergencyAudit","/HMS Android/EmergencyAudit.jsp?main=4&amp;sub=4"
"getEmergency","admin","emergency","success","tiles","emergency","/HMS Android/Emergencys.jsp?main=8&amp;sub=0"
"getEmergencyReport","admin","emergencyReport","success","tiles","emergencyReport","/HMS Android/EmergencyReport.jsp?main=4&amp;sub=3"
"getEmergencyRequest","admin","emergencyRequest","success","tiles","emergencyRequest","/HMS Android/EmergencyRequest.jsp?main=4&amp;sub=2"
